Plate	Row	Column	Cell	ID	FAM1	VIC1	ratio.1	Plate.1	Row.1	Column.1	FAM2	VIC2	ratio.2	Ratio	stdev	plt.norm	mean.ratio
2	G	3	IFNG	278	21.33297902	25.95888048	24.69079629	2	G	9	20.90799364	25.53587695	24.72473767	24.70776704	0.024000094	0.932539473	24.70776116
2	G	4	IFNG	270	20.31215407	25.83022519	45.82525869	2	G	10	20.33399182	25.22707789	29.71431188	37.76978535	11.39215984	1.425536175	36.90075923
2	G	5	IFNG	262	20.79142348	24.9043595	17.30282886	2	G	11	20.81023983	25.13540857	20.04497538	18.67390215	1.938990366	0.704804722	18.6235007
2	G	6	IFNG	144	20.07290092	25.00468667	30.52217253	2	G	12	20.24410884	23.62725902	10.43349194	20.47783221	14.20484224	0.772890032	17.845247
2	H	1	IFNG	137	20.31117454	24.68995927	20.80393788	2	H	7	20.20783641	25.12282348	30.1688347	25.4863863	6.621982038	0.961926718	25.05255604
2	H	2	IFNG	285	21.10089669	25.24089869	17.6305063	2	H	8	21.33556384	25.26579789	15.24468101	16.43759363	1.687033215	0.620400252	16.39425031
2	H	4	IFNG	269	19.67150644	24.61699027	30.81335418	2	H	10	19.80726591	25.02086445	37.10646192	33.95990805	4.449899158	1.281740867	33.8138219
2	H	5	IFNG	261	19.90866044	25.05117503	35.32247649	2	H	11	19.7129864	25.06912108	40.95974064	38.14110859	3.986147676	1.439550942	38.03681744
2	H	6	IFNG	143	20.02613263	25.19517869	35.97807419	2	H	12	19.9527558	25.47414814	45.93087433	40.95447423	7.037692512	1.545735143	40.6510074
3	A	2	IFNG	152	19.6201542	24.70540114	33.94781793	3	A	8	19.58330979	24.43394383	28.85269228	31.40025515	3.602797952	0.966195433	31.29674016
3	A	3	IFNG	160	20.06355684	24.81654566	26.96448959	3	A	9	20.08073842	24.89346979	28.10454137	27.53451544	0.806138399	0.847245443	27.52861447
3	A	4	IFNG	172	20.58276476	25.48805197	29.96667705	3	A	10	20.7947707	25.75173857	31.05961113	30.5131441	0.772821078	0.938898756	30.50825038
3	A	5	IFNG	180	20.17040346	25.0264571	28.96128358	3	A	11	20.16674427	24.9516967	27.56856814	28.26492591	0.984798594	0.869720396	28.25634651
3	A	6	IFNG	191	21.08541594	25.35990855	19.35309782	3	A	12	21.19621128	25.63701067	21.71769968	20.53539877	1.672025984	0.631880487	20.50133567
3	B	2	IFNG	153	19.18365188	24.61430631	43.13103496	3	B	8	19.20263074	24.59595135	42.02921518	42.58012513	0.779104331	1.310203445	42.57656101
3	B	3	IFNG	161	20.53352696	25.35885237	28.35095465	3	B	9	20.40607663	25.430886	32.55504812	30.4530014	2.972742985	0.937048146	30.38036694
3	B	4	IFNG	183	19.58356772	25.01707307	43.21635078	3	B	10	19.86696721	25.32614183	43.99216257	43.60425669	0.548581758	1.341716285	43.60253125
3	B	5	IFNG	184	19.55145955	24.8352187	38.95560863	3	B	11	19.5272928	24.71138203	36.355185	37.65539675	1.838777085	1.158668049	37.63294244
3	B	6	IFNG	192	20.23308992	25.40440454	36.03469227	3	B	12	20.20812717	25.64917641	43.44292207	39.73880719	5.23840949	1.222775225	39.56579745
3	C	1	IFNG	145	19.45720845	24.3339915	29.38041868	3	C	7	19.33855374	24.64213313	39.49448735	34.43745294	7.151726655	1.059650936	34.06412444
3	C	2	IFNG	154	19.49490664	24.34962303	28.93445149	3	C	8	19.48525068	24.36238571	29.38758749	29.16101947	0.320415562	0.897293468	29.16013937
3	C	3	IFNG	162	19.4517729	24.60351476	35.54911798	3	C	9	19.44444982	24.55246267	34.48776792	35.018443	0.750487896	1.077528178	35.0144217
